epoch: 2, train_loss: 1.4156, acc: 50.6, fscore: [50.13], valid_loss: 1.6836, acc: 38.99, fscore: [38.65], test_loss: 1.7483, acc: 40.55, fscore: [39.32], time: 24.82 sec
epoch: 3, train_loss: 1.2776, acc: 54.83, fscore: [54.83], valid_loss: 1.7027, acc: 40.04, fscore: [39.66], test_loss: 1.7887, acc: 40.14, fscore: [38.84], time: 24.76 sec
epoch: 4, train_loss: 1.0956, acc: 61.58, fscore: [61.74], valid_loss: 1.7566, acc: 40.25, fscore: [39.83], test_loss: 1.8631, acc: 40.35, fscore: [38.95], time: 24.88 sec
epoch: 5, train_loss: 0.8811, acc: 71.34, fscore: [71.42], valid_loss: 1.8527, acc: 42.03, fscore: [41.05], test_loss: 1.9937, acc: 40.96, fscore: [39.13], time: 24.95 sec
epoch: 6, train_loss: 0.6752, acc: 79.57, fscore: [79.57], valid_loss: 2.0068, acc: 43.08, fscore: [41.16], test_loss: 2.205, acc: 41.06, fscore: [37.97], time: 24.84 sec
epoch: 7, train_loss: 0.5059, acc: 86.31, fscore: [86.25], valid_loss: 2.3169, acc: 44.44, fscore: [40.76], test_loss: 2.6277, acc: 43.7, fscore: [38.68], time: 25.18 sec
epoch: 8, train_loss: 0.4019, acc: 89.41, fscore: [89.34], valid_loss: 2.8134, acc: 39.1, fscore: [36.21], test_loss: 3.2044, acc: 36.59, fscore: [33.68], time: 25.09 sec
epoch: 9, train_loss: 0.4108, acc: 86.98, fscore: [86.94], valid_loss: 2.4245, acc: 32.08, fscore: [33.98], test_loss: 2.419, acc: 32.83, fscore: [33.55], time: 24.89 sec
epoch: 10, train_loss: 0.3882, acc: 87.11, fscore: [87.05], valid_loss: 2.6247, acc: 44.97, fscore: [41.17], test_loss: 2.9845, acc: 42.89, fscore: [37.4], time: 25.0 sec
epoch: 11, train_loss: 0.2797, acc: 92.58, fscore: [92.56], valid_loss: 2.6154, acc: 40.88, fscore: [40.62], test_loss: 2.7697, acc: 39.53, fscore: [38.31], time: 24.77 sec
epoch: 12, train_loss: 0.1796, acc: 96.49, fscore: [96.48], valid_loss: 2.9029, acc: 44.34, fscore: [40.74], test_loss: 3.1716, acc: 41.77, fscore: [37.23], time: 24.79 sec
epoch: 13, train_loss: 0.1281, acc: 97.8, fscore: [97.79], valid_loss: 3.2289, acc: 40.67, fscore: [37.24], test_loss: 3.526, acc: 37.6, fscore: [32.66], time: 24.67 sec
epoch: 14, train_loss: 0.1078, acc: 98.27, fscore: [98.26], valid_loss: 2.7454, acc: 44.86, fscore: [41.9], test_loss: 3.0327, acc: 42.07, fscore: [37.58], time: 24.85 sec
epoch: 15, train_loss: 0.0769, acc: 99.3, fscore: [99.3], valid_loss: 2.7776, acc: 44.23, fscore: [42.2], test_loss: 2.9771, acc: 42.17, fscore: [38.91], time: 24.66 sec
epoch: 16, train_loss: 0.0629, acc: 99.67, fscore: [99.67], valid_loss: 3.0519, acc: 43.92, fscore: [41.84], test_loss: 3.1932, acc: 40.96, fscore: [37.89], time: 24.7 sec
epoch: 17, train_loss: 0.0562, acc: 99.52, fscore: [99.52], valid_loss: 3.6821, acc: 40.46, fscore: [36.19], test_loss: 3.7969, acc: 35.87, fscore: [31.23], time: 24.72 sec
epoch: 18, train_loss: 0.059, acc: 99.35, fscore: [99.35], valid_loss: 3.7273, acc: 41.51, fscore: [37.98], test_loss: 3.864, acc: 37.4, fscore: [33.39], time: 24.68 sec
epoch: 19, train_loss: 0.075, acc: 98.42, fscore: [98.42], valid_loss: 3.0366, acc: 36.16, fscore: [35.64], test_loss: 3.2462, acc: 35.47, fscore: [33.71], time: 24.52 sec
epoch: 20, train_loss: 0.0608, acc: 99.1, fscore: [99.1], valid_loss: 3.3011, acc: 37.53, fscore: [36.13], test_loss: 3.621, acc: 36.69, fscore: [34.49], time: 24.92 sec
epoch: 21, train_loss: 0.0452, acc: 99.6, fscore: [99.6], valid_loss: 3.927, acc: 42.98, fscore: [39.54], test_loss: 4.4155, acc: 40.45, fscore: [34.9], time: 24.89 sec
epoch: 22, train_loss: 0.0276, acc: 99.96, fscore: [99.96], valid_loss: 3.4039, acc: 42.56, fscore: [40.16], test_loss: 3.7081, acc: 40.35, fscore: [36.83], time: 24.75 sec
epoch: 23, train_loss: 0.0183, acc: 100.0, fscore: [100.0], valid_loss: 3.9225, acc: 45.91, fscore: [41.34], test_loss: 4.3415, acc: 42.89, fscore: [36.56], time: 25.01 sec
epoch: 24, train_loss: 0.015, acc: 100.0, fscore: [100.0], valid_loss: 4.1801, acc: 46.12, fscore: [40.85], test_loss: 4.6451, acc: 43.5, fscore: [36.56], time: 24.62 sec
epoch: 25, train_loss: 0.0131, acc: 100.0, fscore: [100.0], valid_loss: 4.0368, acc: 46.02, fscore: [41.47], test_loss: 4.4566, acc: 43.09, fscore: [37.01], time: 25.32 sec
epoch: 26, train_loss: 0.0113, acc: 100.0, fscore: [100.0], valid_loss: 3.9777, acc: 46.33, fscore: [42.23], test_loss: 4.3753, acc: 42.78, fscore: [37.21], time: 25.15 sec
