epoch: 32, train_loss: 0.5824, acc: 77.05, fscore: [77.08], valid_loss: 1.1379, acc: 59.81, fscore: [59.94], test_loss: 0.9864, acc: 64.63, fscore: [64.0], time: 18.07 sec
epoch: 33, train_loss: 0.5247, acc: 79.62, fscore: [79.45], valid_loss: 1.2318, acc: 58.58, fscore: [59.66], test_loss: 0.9957, acc: 62.85, fscore: [62.72], time: 18.06 sec
epoch: 34, train_loss: 0.4757, acc: 81.97, fscore: [82.0], valid_loss: 1.08, acc: 63.21, fscore: [63.39], test_loss: 0.9385, acc: 65.0, fscore: [64.99], time: 17.83 sec
epoch: 35, train_loss: 0.445, acc: 83.23, fscore: [83.11], valid_loss: 1.08, acc: 61.05, fscore: [62.06], test_loss: 0.9921, acc: 64.88, fscore: [64.52], time: 17.88 sec
epoch: 36, train_loss: 0.4225, acc: 84.02, fscore: [84.0], valid_loss: 1.1249, acc: 55.18, fscore: [55.9], test_loss: 0.9757, acc: 64.76, fscore: [64.52], time: 18.01 sec
epoch: 37, train_loss: 0.3971, acc: 85.43, fscore: [85.3], valid_loss: 1.1323, acc: 60.59, fscore: [61.05], test_loss: 0.9825, acc: 63.96, fscore: [63.86], time: 18.15 sec
epoch: 38, train_loss: 0.3848, acc: 86.11, fscore: [86.12], valid_loss: 1.0825, acc: 60.74, fscore: [61.04], test_loss: 0.9767, acc: 65.62, fscore: [65.72], time: 18.13 sec
epoch: 39, train_loss: 0.3755, acc: 86.69, fscore: [86.66], valid_loss: 1.173, acc: 60.28, fscore: [60.72], test_loss: 0.9954, acc: 65.62, fscore: [65.36], time: 18.1 sec
epoch: 40, train_loss: 0.3402, acc: 87.97, fscore: [87.95], valid_loss: 1.1436, acc: 60.59, fscore: [61.2], test_loss: 0.985, acc: 66.05, fscore: [66.34], time: 18.83 sec
epoch: 41, train_loss: 0.3544, acc: 87.14, fscore: [87.13], valid_loss: 1.3422, acc: 54.25, fscore: [54.28], test_loss: 1.0919, acc: 63.52, fscore: [63.27], time: 18.11 sec
epoch: 42, train_loss: 0.3617, acc: 86.69, fscore: [86.66], valid_loss: 1.4989, acc: 50.85, fscore: [49.66], test_loss: 1.1837, acc: 60.94, fscore: [60.1], time: 18.55 sec
epoch: 43, train_loss: 0.3677, acc: 85.69, fscore: [85.62], valid_loss: 1.2009, acc: 60.74, fscore: [61.32], test_loss: 1.0274, acc: 65.62, fscore: [65.7], time: 17.69 sec
epoch: 44, train_loss: 0.3683, acc: 86.36, fscore: [86.31], valid_loss: 1.1716, acc: 59.66, fscore: [59.83], test_loss: 1.0811, acc: 63.65, fscore: [63.56], time: 17.73 sec
epoch: 45, train_loss: 0.3953, acc: 84.87, fscore: [84.77], valid_loss: 1.2738, acc: 53.79, fscore: [53.15], test_loss: 1.2791, acc: 61.49, fscore: [60.48], time: 18.15 sec
epoch: 46, train_loss: 0.4169, acc: 83.65, fscore: [83.69], valid_loss: 1.162, acc: 61.21, fscore: [61.65], test_loss: 1.0876, acc: 65.37, fscore: [65.24], time: 18.16 sec
epoch: 47, train_loss: 0.4399, acc: 82.84, fscore: [82.78], valid_loss: 1.3947, acc: 55.33, fscore: [56.44], test_loss: 1.0911, acc: 64.2, fscore: [64.06], time: 18.02 sec
epoch: 48, train_loss: 0.3625, acc: 86.46, fscore: [86.41], valid_loss: 1.1722, acc: 61.36, fscore: [61.71], test_loss: 1.0219, acc: 64.76, fscore: [64.28], time: 17.82 sec
epoch: 49, train_loss: 0.3084, acc: 89.48, fscore: [89.42], valid_loss: 1.332, acc: 55.33, fscore: [55.87], test_loss: 1.0112, acc: 64.82, fscore: [64.89], time: 17.83 sec
epoch: 50, train_loss: 0.2935, acc: 89.87, fscore: [89.89], valid_loss: 1.2315, acc: 60.59, fscore: [61.34], test_loss: 1.0229, acc: 65.56, fscore: [65.73], time: 18.33 sec
epoch: 51, train_loss: 0.2648, acc: 91.61, fscore: [91.61], valid_loss: 1.3517, acc: 56.26, fscore: [56.78], test_loss: 1.0809, acc: 64.88, fscore: [64.83], time: 18.1 sec
epoch: 52, train_loss: 0.245, acc: 92.25, fscore: [92.24], valid_loss: 1.3834, acc: 55.8, fscore: [55.73], test_loss: 1.1106, acc: 64.33, fscore: [64.16], time: 18.05 sec
epoch: 53, train_loss: 0.2317, acc: 92.52, fscore: [92.51], valid_loss: 1.3063, acc: 57.65, fscore: [58.69], test_loss: 1.0691, acc: 66.3, fscore: [66.35], time: 18.19 sec
epoch: 54, train_loss: 0.2178, acc: 93.4, fscore: [93.39], valid_loss: 1.3743, acc: 56.57, fscore: [57.11], test_loss: 1.0952, acc: 64.7, fscore: [64.69], time: 18.16 sec
epoch: 55, train_loss: 0.2015, acc: 94.31, fscore: [94.3], valid_loss: 1.3487, acc: 59.35, fscore: [59.93], test_loss: 1.1081, acc: 65.56, fscore: [65.61], time: 18.33 sec
epoch: 56, train_loss: 0.1932, acc: 94.36, fscore: [94.37], valid_loss: 1.4513, acc: 56.26, fscore: [56.44], test_loss: 1.1461, acc: 64.76, fscore: [64.63], time: 18.14 sec
epoch: 57, train_loss: 0.223, acc: 92.83, fscore: [92.86], valid_loss: 1.5678, acc: 54.71, fscore: [53.06], test_loss: 1.2508, acc: 60.26, fscore: [59.24], time: 18.44 sec
epoch: 58, train_loss: 0.2609, acc: 91.34, fscore: [91.31], valid_loss: 1.5196, acc: 49.77, fscore: [49.4], test_loss: 1.2698, acc: 61.37, fscore: [60.95], time: 18.08 sec
epoch: 59, train_loss: 0.2767, acc: 90.37, fscore: [90.32], valid_loss: 1.3575, acc: 61.82, fscore: [61.79], test_loss: 1.1405, acc: 65.8, fscore: [64.85], time: 18.26 sec
epoch: 60, train_loss: 0.2494, acc: 91.54, fscore: [91.54], valid_loss: 1.5409, acc: 54.87, fscore: [53.9], test_loss: 1.2214, acc: 64.14, fscore: [63.71], time: 18.1 sec
epoch: 1, train_loss: 1.5919, acc: 29.89, fscore: [27.78], valid_loss: 1.4269, acc: 47.3, fscore: [32.19], test_loss: 1.3919, acc: 45.59, fscore: [33.81], time: 19.0 sec
epoch: 2, train_loss: 1.2982, acc: 45.86, fscore: [42.86], valid_loss: 1.2665, acc: 47.3, fscore: [43.35], test_loss: 1.2049, acc: 55.39, fscore: [51.59], time: 18.67 sec
epoch: 3, train_loss: 1.1731, acc: 50.47, fscore: [47.6], valid_loss: 1.1283, acc: 50.23, fscore: [45.61], test_loss: 1.0716, acc: 58.84, fscore: [55.07], time: 18.42 sec
epoch: 4, train_loss: 1.1182, acc: 52.3, fscore: [50.36], valid_loss: 1.087, acc: 53.94, fscore: [51.59], test_loss: 1.0355, acc: 58.78, fscore: [55.22], time: 18.59 sec
epoch: 5, train_loss: 1.079, acc: 54.33, fscore: [51.9], valid_loss: 1.0555, acc: 55.33, fscore: [49.89], test_loss: 1.0063, acc: 60.44, fscore: [57.24], time: 18.48 sec
epoch: 6, train_loss: 1.0412, acc: 55.8, fscore: [54.32], valid_loss: 1.0192, acc: 56.72, fscore: [52.67], test_loss: 0.9481, acc: 63.34, fscore: [61.82], time: 18.39 sec
